name: Trajectory 2
type: 3D
x: North | m
y: East  | m
z: Altitude | m
coords:
1.615   -> 37.965054476433444 -0.05271487695259244 1997.5477203659655
1.620   -> 38.07763390784199 -0.05325174739141844 1997.5267952288946
1.625   -> 38.19019890959107 -0.053797243885787605 1997.5058742623476
1.630   -> 38.30274925542484 -0.05435145418320605 1997.4849586449277
1.635   -> 38.415284715646024 -0.0549144636463463 1997.4640495111908
1.640   -> 38.52780505751183 -0.05548635518698909 1997.443147951249
1.645   -> 38.64031004563298 -0.05606720920221156 1997.4222550104057
1.650   -> 38.75279944237499 -0.05665710351291619 1997.401371688815
1.655   -> 38.86527300826103 -0.05725611330479029 1997.3804989411742
1.660   -> 38.97773050237563 -0.057864311071781104 1997.3596376764394
1.665   -> 39.09017168276864 -0.058481766562166915 1997.338788757572
1.670   -> 39.202596306858695 -0.05910854672729968 1997.31795300131
1.675   -> 39.31500413183552 -0.05974471567309002 1997.2971311779665
1.680   -> 39.42739491506052 -0.06039033461430061 1997.2763240112558
1.685   -> 39.539768414464916 -0.0610454618317091 1997.2555321781422
1.690   -> 39.652124388944955 -0.06171015263219719 1997.2347563087167
1.695   -> 39.76446259875345 -0.062384459311817575 1997.2139969860982
1.700   -> 39.876782805887174 -0.06306843112188605 1997.1932547463582
1.705   -> 39.98908477446952 -0.06376211423814133 1997.1725300784717
1.710   -> 40.10136827112778 -0.06446555173301076 1997.1518234242897
1.715   -> 40.213633065364654 -0.0651787835510155 1997.1311351785378
1.720   -> 40.32587892992325 -0.06590184648734473 1997.1104656888365
1.725   -> 40.438105641145256 -0.06663477416962357 1997.089815255746
1.730   -> 40.550312979321596 -0.06737759704289574 1997.0691841328337
1.735   -> 40.662500729035116 -0.06813034235783728 1997.0485725267636
1.740   -> 40.77466867949482 -0.06889303416221394 1997.0279805974108
1.745   -> 40.88681662486112 -0.06966569329559018 1997.007408457997
1.750   -> 40.99894436456155 -0.07044833738729411 1996.9868561752498
1.755   -> 41.11105170359665 -0.07124098085763832 1996.966323769585
1.760   -> 41.22313845283523 -0.07204363492239232 1996.9458112153104
1.765   -> 41.33520442929885 -0.07285630760049862 1996.925318440855
1.770   -> 41.44724945643483 -0.07367900372501968 1996.904845329019
1.775   -> 41.55927336437746 -0.07451172495729955 1996.8843917172487
1.780   -> 41.67127599019685 -0.07535446980431909 1996.8639573979344
1.785   -> 41.783257178135074 -0.07620723363921995 1996.8435421187314
1.790   -> 41.89521677982918 -0.07707000872496778 1996.823145582906
1.795   -> 42.00715465452054 -0.07794278424112124 1996.8027674497039
1.800   -> 42.11907066925033 -0.07882554631366855 1996.782407334745
1.805   -> 42.23096469904055 -0.07971827804788931 1996.7620648104403
1.810   -> 42.34283662706045 -0.08062095956419449 1996.7417394064357
1.815   -> 42.454686344777855 -0.08153356803689345 1996.7214306100784
1.820   -> 42.56651375209516 -0.08245607773583191 1996.7011378669101
1.825   -> 42.67831875746974 -0.08338846007084078 1996.6808605811846
1.830   -> 42.79010127801844 -0.0843306836389308 1996.66059811641
1.835   -> 42.901861239606056 -0.08528271427416399 1996.6403497959184
1.840   -> 43.013598514567406 -0.08624453244659135 1996.620114676693
1.845   -> 43.12531310888506 -0.08721608149290021 1996.5998922383499
1.850   -> 43.23700492787893 -0.08819733831585744 1996.5796815270385
1.855   -> 43.34867398003734 -0.08918823932060542 1996.5594818781797
1.860   -> 43.46032020314385 -0.09018875808181931 1996.5392923305542
1.865   -> 43.57194360887014 -0.09119882431631714 1996.5191120772922
1.870   -> 43.683544166747275 -0.09221840852129884 1996.4989401531843
1.875   -> 43.7951218922366 -0.09324743399313296 1996.4787756114754
1.880   -> 43.90667678572283 -0.09428586841125344 1996.4586174862402
1.885   -> 44.01820886260565 -0.09533367807700778 1996.4384648126306
1.890   -> 44.12971815024791 -0.09639075278568615 1996.4183163970893
1.895   -> 44.241204693290996 -0.09745705647622008 1996.3981712785019
1.900   -> 44.352668550681386 -0.09853255181025966 1996.378028497105
1.905   -> 44.464109795441104 -0.09961720019234896 1996.357887094571
1.910   -> 44.57552851443649 -0.10071096179029457 1996.3377461140894
1.915   -> 44.68692480814538 -0.1018137955557209 1996.3176046004469
1.920   -> 44.798298790422834 -0.10292565924480584 1996.2974616001006
1.925   -> 44.9096505882656 -0.10404650943919032 1996.2773161612517
1.930   -> 45.02098007604359 -0.10517606112837427 1996.257165192794
1.935   -> 45.1322874024697 -0.10631427107222706 1996.2370077787289
1.940   -> 45.243572728170754 -0.10746109505566873 1996.216843004961
1.945   -> 45.35483622546296 -0.10861648790741668 1996.196669959359
1.950   -> 45.46607783336559 -0.109780266612606 1996.176485888136
1.955   -> 45.577297743129826 -0.11095238606681052 1996.1562899125686
1.960   -> 45.68849601279068 -0.11213272850774329 1996.1360800613475
1.965   -> 45.79967285224137 -0.11332124830688146 1996.1158554773676
1.970   -> 45.91082832370697 -0.11451782484301688 1996.0956140972478
1.975   -> 46.021962654078635 -0.11572241220619099 1996.0753550873847
1.980   -> 46.13307590923483 -0.11693488734992852 1996.0550762995188
1.985   -> 46.24416833143373 -0.11815520431547848 1996.0347769252808
1.990   -> 46.35523998959042 -0.11938323806752718 1996.0144547390191
1.995   -> 46.466291139726145 -0.12061894282018526 1995.994108959182
2.000   -> 46.57732185310997 -0.12186219198604027 1995.9737372904647
2.005   -> 46.68833229881301 -0.12311289964606405 1995.953338191661
2.010   -> 46.7993226490443 -0.12437097979731532 1995.9329101147948
2.015   -> 46.91029307886898 -0.1256363464294523 1995.9124515062792
